id,female,race,ses,schtyp,prog,read,write,math,science,socst,readcategorical,writecategorical,mathcategorical,sccategorical,socstcategorical
99,female,White,High,Public,General,47,59,56,66,61,below mean,above mean,above mean,above mean,above mean
47,female,African American,Low,Public,Academic,47,46,49,33,41,below mean,below mean,below mean,below mean,below mean
120,female,White,High,Public,Academic,63,52,54,50,51,above mean,below mean,above mean,below mean,below mean
166,female,White,Middle,Public,Academic,52,59,53,61,51,below mean,above mean,above mean,above mean,below mean
65,female,White,Middle,Public,Academic,55,54,66,42,56,above mean,above mean,above mean,below mean,above mean
101,female,White,High,Public,Academic,60,62,67,50,56,above mean,above mean,above mean,below mean,above mean
89,female,White,Low,Public,Vocational,35,35,40,51,33,below mean,below mean,below mean,below mean,below mean
54,female,African American,Low,Private,General,47,54,46,50,56,below mean,above mean,below mean,below mean,above mean
180,female,White,High,Private,Academic,71,65,69,58,71,above mean,above mean,above mean,above mean,above mean
162,female,White,Middle,Public,Vocational,57,52,40,61,56,above mean,below mean,below mean,above mean,above mean
4,female,Hispanic,Low,Public,Academic,44,50,41,39,51,below mean,below mean,below mean,below mean,below mean
131,female,White,High,Public,Academic,65,59,57,46,66,above mean,above mean,above mean,below mean,above mean
125,female,White,Low,Public,Academic,68,65,58,59,56,above mean,above mean,above mean,above mean,above mean
34,female,Hispanic,High,Private,Academic,73,61,57,55,66,above mean,above mean,above mean,above mean,above mean
106,female,White,Middle,Public,Vocational,36,44,37,42,41,below mean,below mean,below mean,below mean,below mean
130,female,White,High,Public,General,43,54,55,55,46,below mean,above mean,above mean,above mean,below mean
93,female,White,High,Public,Academic,73,67,62,58,66,above mean,above mean,above mean,above mean,above mean
163,female,White,Low,Public,Academic,52,57,64,58,56,below mean,above mean,above mean,above mean,above mean
37,female,African American,Low,Public,Vocational,41,47,40,39,51,below mean,below mean,below mean,below mean,below mean
35,female,Hispanic,Low,Private,General,60,54,50,50,51,above mean,above mean,below mean,below mean,below mean
87,female,White,Middle,Public,General,50,52,46,50,56,below mean,below mean,below mean,below mean,above mean
73,female,White,Middle,Public,Academic,50,52,53,39,56,below mean,below mean,above mean,below mean,above mean
151,female,White,Middle,Public,Vocational,47,46,52,48,46,below mean,below mean,below mean,below mean,below mean
44,female,African American,Low,Public,Vocational,47,62,45,34,46,below mean,above mean,below mean,below mean,below mean
152,female,White,High,Public,Academic,55,57,56,58,61,above mean,above mean,above mean,above mean,above mean
105,female,White,Middle,Public,Academic,50,41,45,44,56,below mean,below mean,below mean,below mean,above mean
28,female,Asian,Middle,Public,General,39,53,54,50,41,below mean,above mean,above mean,below mean,below mean
91,female,White,High,Public,Vocational,50,49,56,47,46,below mean,below mean,above mean,below mean,below mean
45,female,African American,Low,Public,Vocational,34,35,41,29,26,below mean,below mean,below mean,below mean,below mean
116,female,White,Middle,Public,Academic,57,59,54,50,56,above mean,above mean,above mean,below mean,above mean
33,female,Asian,Low,Public,Academic,57,65,72,54,56,above mean,above mean,above mean,above mean,above mean
66,female,White,Middle,Public,Vocational,68,62,56,50,51,above mean,above mean,above mean,below mean,below mean
72,female,White,Middle,Public,Vocational,42,54,47,47,46,below mean,above mean,below mean,below mean,below mean
77,female,White,Low,Public,Academic,61,59,49,44,66,above mean,above mean,below mean,below mean,above mean
61,female,White,High,Public,Academic,76,63,60,67,66,above mean,above mean,above mean,above mean,above mean
190,female,White,Middle,Private,Academic,47,59,54,58,46,below mean,above mean,above mean,above mean,below mean
42,female,African American,Middle,Public,Vocational,46,52,55,44,56,below mean,below mean,above mean,below mean,above mean
2,female,Hispanic,Middle,Public,Vocational,39,41,33,42,41,below mean,below mean,below mean,below mean,below mean
55,female,African American,Middle,Private,Academic,52,49,49,44,61,below mean,below mean,below mean,below mean,above mean
19,female,Hispanic,Low,Public,General,28,46,43,44,51,below mean,below mean,below mean,below mean,below mean
90,female,White,High,Public,Academic,42,54,50,50,52,below mean,above mean,below mean,below mean,below mean
142,female,White,Middle,Public,Vocational,47,42,52,39,51,below mean,below mean,below mean,below mean,below mean
17,female,Hispanic,Middle,Public,Academic,47,57,48,44,41,below mean,above mean,below mean,below mean,below mean
122,female,White,Middle,Public,Academic,52,59,58,53,66,below mean,above mean,above mean,above mean,above mean
191,female,White,High,Private,Academic,47,52,43,48,61,below mean,below mean,below mean,below mean,above mean
83,female,White,Middle,Public,Vocational,50,62,41,55,31,below mean,above mean,below mean,above mean,below mean
182,female,White,Middle,Private,Academic,44,52,43,44,51,below mean,below mean,below mean,below mean,below mean
6,female,Hispanic,Low,Public,Academic,47,41,46,40,41,below mean,below mean,below mean,below mean,below mean
46,female,African American,Low,Public,Academic,45,55,44,34,41,below mean,above mean,below mean,below mean,below mean
43,female,African American,Low,Public,Academic,47,37,43,42,46,below mean,below mean,below mean,below mean,below mean
96,female,White,High,Public,Academic,65,54,61,58,56,above mean,above mean,above mean,above mean,above mean
138,female,White,Middle,Public,Vocational,43,57,40,50,51,below mean,above mean,below mean,below mean,below mean
10,female,Hispanic,Middle,Public,General,47,54,49,53,61,below mean,above mean,below mean,above mean,above mean
71,female,White,Middle,Public,General,57,62,56,58,66,above mean,above mean,above mean,above mean,above mean
139,female,White,Middle,Public,Academic,68,59,61,55,71,above mean,above mean,above mean,above mean,above mean
110,female,White,Middle,Public,Vocational,52,55,50,54,61,below mean,above mean,below mean,above mean,above mean
148,female,White,Middle,Public,Vocational,42,57,51,47,61,below mean,above mean,below mean,below mean,above mean
109,female,White,Middle,Public,General,42,39,42,42,41,below mean,below mean,below mean,below mean,below mean
39,female,African American,High,Public,Academic,66,67,67,61,66,above mean,above mean,above mean,above mean,above mean
147,female,White,Low,Public,Academic,47,62,53,53,61,below mean,above mean,above mean,above mean,above mean
74,female,White,Middle,Public,Academic,57,50,50,51,58,above mean,below mean,below mean,below mean,above mean
198,female,White,High,Private,Academic,47,61,51,63,31,below mean,above mean,below mean,above mean,below mean
161,female,White,Low,Public,Academic,57,62,72,61,61,above mean,above mean,above mean,above mean,above mean
112,female,White,Middle,Public,Academic,52,59,48,55,61,below mean,above mean,below mean,above mean,above mean
69,female,White,Low,Public,Vocational,44,44,40,40,31,below mean,below mean,below mean,below mean,below mean
156,female,White,Middle,Public,Academic,50,59,53,61,61,below mean,above mean,above mean,above mean,above mean
111,female,White,Low,Public,General,39,54,39,47,36,below mean,above mean,below mean,below mean,below mean
186,female,White,Middle,Private,Academic,57,62,63,55,41,above mean,above mean,above mean,above mean,below mean
98,female,White,Low,Public,Vocational,57,60,51,53,37,above mean,above mean,below mean,above mean,below mean
119,female,White,Low,Public,General,42,57,45,50,43,below mean,above mean,below mean,below mean,below mean
13,female,Hispanic,Middle,Public,Vocational,47,46,39,47,61,below mean,below mean,below mean,below mean,above mean
51,female,African American,High,Public,General,42,36,42,31,39,below mean,below mean,below mean,below mean,below mean
26,female,Asian,High,Public,Academic,60,59,62,61,51,above mean,above mean,above mean,above mean,below mean
36,female,African American,Low,Public,General,44,49,44,35,51,below mean,below mean,below mean,below mean,below mean
135,female,White,Low,Public,Academic,63,60,65,54,66,above mean,above mean,above mean,above mean,above mean
59,female,White,Middle,Public,Academic,65,67,63,55,71,above mean,above mean,above mean,above mean,above mean
78,female,White,Middle,Public,Academic,39,54,54,53,41,below mean,above mean,above mean,above mean,below mean
64,female,White,High,Public,Vocational,50,52,45,58,36,below mean,below mean,below mean,above mean,below mean
63,female,White,Low,Public,General,52,65,60,56,51,below mean,above mean,above mean,above mean,below mean
79,female,White,Middle,Public,Academic,60,62,49,50,51,above mean,above mean,below mean,below mean,below mean
193,female,White,Middle,Private,Academic,44,49,48,39,51,below mean,below mean,below mean,below mean,below mean
92,female,White,High,Public,General,52,67,57,63,61,below mean,above mean,above mean,above mean,above mean
160,female,White,Middle,Public,Academic,55,65,55,50,61,above mean,above mean,above mean,below mean,above mean
32,female,Asian,High,Public,Vocational,50,67,66,66,56,below mean,above mean,above mean,above mean,above mean
23,female,Asian,Low,Public,Academic,65,65,64,58,71,above mean,above mean,above mean,above mean,above mean
158,female,White,Middle,Public,General,52,54,55,53,51,below mean,above mean,above mean,above mean,below mean
25,female,Asian,Middle,Public,General,47,44,42,42,36,below mean,below mean,below mean,below mean,below mean
188,female,White,High,Private,Academic,63,62,56,55,61,above mean,above mean,above mean,above mean,above mean
52,female,African American,Low,Public,Academic,50,46,53,53,66,below mean,below mean,above mean,above mean,above mean
124,female,White,Low,Public,Vocational,42,54,41,42,41,below mean,above mean,below mean,below mean,below mean
175,female,White,High,Private,General,36,57,42,50,41,below mean,above mean,below mean,below mean,below mean
184,female,White,Middle,Private,Vocational,50,52,53,55,56,below mean,below mean,above mean,above mean,above mean
30,female,Asian,High,Public,Academic,41,59,42,34,51,below mean,above mean,below mean,below mean,below mean
179,female,White,Middle,Private,Academic,47,65,60,50,56,below mean,above mean,above mean,below mean,above mean
31,female,Asian,Middle,Private,General,55,59,52,42,56,above mean,above mean,below mean,below mean,above mean
145,female,White,Middle,Public,Vocational,42,46,38,36,46,below mean,below mean,below mean,below mean,below mean
187,female,White,Middle,Private,General,57,41,57,55,52,above mean,below mean,above mean,above mean,below mean
118,female,White,Middle,Public,General,55,62,58,58,61,above mean,above mean,above mean,above mean,above mean
137,female,White,High,Public,Academic,63,65,65,53,61,above mean,above mean,above mean,above mean,above mean
